dataset,condition_dir,strategy,graph_path,task,correct_answer,correct_answer_label,revisit_correct_answer,placeholder_node,placeholder_node_label,placeholder_node_a,placeholder_node_b,target_community_index,correct_answer_count,computation
condition_3_graph_01,condition_3,on-demand,to-link-or-not/graphs/lfr/condition_3/condition_3_graph_01.json,T3,n002;n004;n012;n015;n024;n027;n030;n031;n032;n035;n038;n039;n044;n057;n060;n063;n064;n075;n077;n080;n085;n086;n090;n091;n093;n094;n097;n101;n102;n106;n109;n111;n113;n116,2;4;12;15;24;27;30;31;32;35;38;39;44;57;60;63;64;75;77;80;85;86;90;91;93;94;97;101;102;106;109;111;113;116,"[{""id"": ""task-answer"", ""answer"": ""[\""n002\"", \""n004\"", \""n012\"", \""n015\"", \""n024\"", \""n027\"", \""n030\"", \""n031\"", \""n032\"", \""n035\"", \""n038\"", \""n039\"", \""n044\"", \""n057\"", \""n060\"", \""n063\"", \""n064\"", \""n075\"", \""n077\"", \""n080\"", \""n085\"", \""n086\"", \""n090\"", \""n091\"", \""n093\"", \""n094\"", \""n097\"", \""n101\"", \""n102\"", \""n106\"", \""n109\"", \""n111\"", \""n113\"", \""n116\""]""}]",n116,116,,,2,34,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_3_graph_02,condition_3,on-demand,to-link-or-not/graphs/lfr/condition_3/condition_3_graph_02.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_3_graph_02,condition_3,on-demand,to-link-or-not/graphs/lfr/condition_3/condition_3_graph_02.json,T2,n106,106,"[{""id"": ""task-answer"", ""answer"": ""[\""n106\""]""}]",,,n008,n101,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_3_graph_02,condition_3,on-demand,to-link-or-not/graphs/lfr/condition_3/condition_3_graph_02.json,T3,n001;n009;n011;n014;n023;n025;n031;n034;n037;n046;n048;n050;n064;n065;n066;n071;n076;n079;n082;n085;n086;n090;n091;n093;n096;n099;n103;n113;n116;n119,1;9;11;14;23;25;31;34;37;46;48;50;64;65;66;71;76;79;82;85;86;90;91;93;96;99;103;113;116;119,"[{""id"": ""task-answer"", ""answer"": ""[\""n001\"", \""n009\"", \""n011\"", \""n014\"", \""n023\"", \""n025\"", \""n031\"", \""n034\"", \""n037\"", \""n046\"", \""n048\"", \""n050\"", \""n064\"", \""n065\"", \""n066\"", \""n071\"", \""n076\"", \""n079\"", \""n082\"", \""n085\"", \""n086\"", \""n090\"", \""n091\"", \""n093\"", \""n096\"", \""n099\"", \""n103\"", \""n113\"", \""n116\"", \""n119\""]""}]",n119,119,,,3,30,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_3_graph_03,condition_3,on-demand,to-link-or-not/graphs/lfr/condition_3/condition_3_graph_03.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_3_graph_03,condition_3,on-demand,to-link-or-not/graphs/lfr/condition_3/condition_3_graph_03.json,T2,n093,93,"[{""id"": ""task-answer"", ""answer"": ""[\""n093\""]""}]",,,n001,n009,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_3_graph_03,condition_3,on-demand,to-link-or-not/graphs/lfr/condition_3/condition_3_graph_03.json,T3,n001;n005;n010;n015;n020;n021;n024;n028;n029;n035;n036;n037;n038;n039;n043;n047;n054;n057;n062;n065;n066;n067;n071;n073;n074;n083;n087;n089;n090;n097;n098;n101;n105;n106;n114;n116,1;5;10;15;20;21;24;28;29;35;36;37;38;39;43;47;54;57;62;65;66;67;71;73;74;83;87;89;90;97;98;101;105;106;114;116,"[{""id"": ""task-answer"", ""answer"": ""[\""n001\"", \""n005\"", \""n010\"", \""n015\"", \""n020\"", \""n021\"", \""n024\"", \""n028\"", \""n029\"", \""n035\"", \""n036\"", \""n037\"", \""n038\"", \""n039\"", \""n043\"", \""n047\"", \""n054\"", \""n057\"", \""n062\"", \""n065\"", \""n066\"", \""n067\"", \""n071\"", \""n073\"", \""n074\"", \""n083\"", \""n087\"", \""n089\"", \""n090\"", \""n097\"", \""n098\"", \""n101\"", \""n105\"", \""n106\"", \""n114\"", \""n116\""]""}]",n116,116,,,0,36,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_3_graph_04,condition_3,on-demand,to-link-or-not/graphs/lfr/condition_3/condition_3_graph_04.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_3_graph_04,condition_3,on-demand,to-link-or-not/graphs/lfr/condition_3/condition_3_graph_04.json,T2,n110,110,"[{""id"": ""task-answer"", ""answer"": ""[\""n110\""]""}]",,,n003,n089,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_3_graph_04,condition_3,on-demand,to-link-or-not/graphs/lfr/condition_3/condition_3_graph_04.json,T3,n001;n004;n011;n013;n016;n018;n024;n028;n030;n031;n039;n043;n044;n050;n052;n056;n060;n066;n067;n072;n080;n081;n086;n095;n098;n100;n103;n104;n106;n111;n114;n115;n120,1;4;11;13;16;18;24;28;30;31;39;43;44;50;52;56;60;66;67;72;80;81;86;95;98;100;103;104;106;111;114;115;120,"[{""id"": ""task-answer"", ""answer"": ""[\""n001\"", \""n004\"", \""n011\"", \""n013\"", \""n016\"", \""n018\"", \""n024\"", \""n028\"", \""n030\"", \""n031\"", \""n039\"", \""n043\"", \""n044\"", \""n050\"", \""n052\"", \""n056\"", \""n060\"", \""n066\"", \""n067\"", \""n072\"", \""n080\"", \""n081\"", \""n086\"", \""n095\"", \""n098\"", \""n100\"", \""n103\"", \""n104\"", \""n106\"", \""n111\"", \""n114\"", \""n115\"", \""n120\""]""}]",n120,120,,,2,33,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_3_graph_05,condition_3,on-demand,to-link-or-not/graphs/lfr/condition_3/condition_3_graph_05.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_3_graph_05,condition_3,on-demand,to-link-or-not/graphs/lfr/condition_3/condition_3_graph_05.json,T2,n114,114,"[{""id"": ""task-answer"", ""answer"": ""[\""n114\""]""}]",,,n001,n034,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_3_graph_05,condition_3,on-demand,to-link-or-not/graphs/lfr/condition_3/condition_3_graph_05.json,T3,n004;n006;n014;n016;n018;n019;n020;n030;n040;n046;n047;n049;n050;n060;n070;n076;n082;n083;n092;n094;n095;n096;n099;n103;n107;n108;n113;n118,4;6;14;16;18;19;20;30;40;46;47;49;50;60;70;76;82;83;92;94;95;96;99;103;107;108;113;118,"[{""id"": ""task-answer"", ""answer"": ""[\""n004\"", \""n006\"", \""n014\"", \""n016\"", \""n018\"", \""n019\"", \""n020\"", \""n030\"", \""n040\"", \""n046\"", \""n047\"", \""n049\"", \""n050\"", \""n060\"", \""n070\"", \""n076\"", \""n082\"", \""n083\"", \""n092\"", \""n094\"", \""n095\"", \""n096\"", \""n099\"", \""n103\"", \""n107\"", \""n108\"", \""n113\"", \""n118\""]""}]",n118,118,,,4,28,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_3_graph_06,condition_3,on-demand,to-link-or-not/graphs/lfr/condition_3/condition_3_graph_06.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_3_graph_06,condition_3,on-demand,to-link-or-not/graphs/lfr/condition_3/condition_3_graph_06.json,T2,n115,115,"[{""id"": ""task-answer"", ""answer"": ""[\""n115\""]""}]",,,n002,n106,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_3_graph_06,condition_3,on-demand,to-link-or-not/graphs/lfr/condition_3/condition_3_graph_06.json,T3,n001;n012;n020;n028;n029;n040;n048;n050;n061;n065;n070;n072;n073;n074;n084;n086;n087;n095;n103;n104;n108;n112;n117;n119;n120,1;12;20;28;29;40;48;50;61;65;70;72;73;74;84;86;87;95;103;104;108;112;117;119;120,"[{""id"": ""task-answer"", ""answer"": ""[\""n001\"", \""n012\"", \""n020\"", \""n028\"", \""n029\"", \""n040\"", \""n048\"", \""n050\"", \""n061\"", \""n065\"", \""n070\"", \""n072\"", \""n073\"", \""n074\"", \""n084\"", \""n086\"", \""n087\"", \""n095\"", \""n103\"", \""n104\"", \""n108\"", \""n112\"", \""n117\"", \""n119\"", \""n120\""]""}]",n120,120,,,3,25,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_3_graph_07,condition_3,on-demand,to-link-or-not/graphs/lfr/condition_3/condition_3_graph_07.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_3_graph_07,condition_3,on-demand,to-link-or-not/graphs/lfr/condition_3/condition_3_graph_07.json,T2,n080,80,"[{""id"": ""task-answer"", ""answer"": ""[\""n080\""]""}]",,,n001,n021,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_3_graph_07,condition_3,on-demand,to-link-or-not/graphs/lfr/condition_3/condition_3_graph_07.json,T3,n003;n008;n012;n013;n015;n018;n021;n031;n037;n039;n040;n041;n044;n050;n052;n053;n055;n060;n068;n071;n081;n083;n084;n086;n087;n092;n094;n097;n099;n101;n104;n105;n114;n118,3;8;12;13;15;18;21;31;37;39;40;41;44;50;52;53;55;60;68;71;81;83;84;86;87;92;94;97;99;101;104;105;114;118,"[{""id"": ""task-answer"", ""answer"": ""[\""n003\"", \""n008\"", \""n012\"", \""n013\"", \""n015\"", \""n018\"", \""n021\"", \""n031\"", \""n037\"", \""n039\"", \""n040\"", \""n041\"", \""n044\"", \""n050\"", \""n052\"", \""n053\"", \""n055\"", \""n060\"", \""n068\"", \""n071\"", \""n081\"", \""n083\"", \""n084\"", \""n086\"", \""n087\"", \""n092\"", \""n094\"", \""n097\"", \""n099\"", \""n101\"", \""n104\"", \""n105\"", \""n114\"", \""n118\""]""}]",n118,118,,,1,34,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_3_graph_08,condition_3,on-demand,to-link-or-not/graphs/lfr/condition_3/condition_3_graph_08.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_3_graph_08,condition_3,on-demand,to-link-or-not/graphs/lfr/condition_3/condition_3_graph_08.json,T2,n114,114,"[{""id"": ""task-answer"", ""answer"": ""[\""n114\""]""}]",,,n005,n108,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_3_graph_08,condition_3,on-demand,to-link-or-not/graphs/lfr/condition_3/condition_3_graph_08.json,T3,n005;n006;n010;n012;n019;n023;n025;n026;n041;n049;n050;n052;n054;n055;n057;n064;n068;n072;n075;n076;n089;n093;n094;n098;n099;n104;n105;n114;n117,5;6;10;12;19;23;25;26;41;49;50;52;54;55;57;64;68;72;75;76;89;93;94;98;99;104;105;114;117,"[{""id"": ""task-answer"", ""answer"": ""[\""n005\"", \""n006\"", \""n010\"", \""n012\"", \""n019\"", \""n023\"", \""n025\"", \""n026\"", \""n041\"", \""n049\"", \""n050\"", \""n052\"", \""n054\"", \""n055\"", \""n057\"", \""n064\"", \""n068\"", \""n072\"", \""n075\"", \""n076\"", \""n089\"", \""n093\"", \""n094\"", \""n098\"", \""n099\"", \""n104\"", \""n105\"", \""n114\"", \""n117\""]""}]",n117,117,,,0,29,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_3_graph_09,condition_3,on-demand,to-link-or-not/graphs/lfr/condition_3/condition_3_graph_09.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_3_graph_09,condition_3,on-demand,to-link-or-not/graphs/lfr/condition_3/condition_3_graph_09.json,T2,n109,109,"[{""id"": ""task-answer"", ""answer"": ""[\""n109\""]""}]",,,n003,n001,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_3_graph_09,condition_3,on-demand,to-link-or-not/graphs/lfr/condition_3/condition_3_graph_09.json,T3,n002;n005;n024;n026;n029;n030;n031;n032;n037;n041;n047;n050;n052;n054;n058;n060;n062;n063;n065;n066;n068;n069;n070;n073;n076;n088;n101;n104;n110;n116;n117;n118;n119;n120,2;5;24;26;29;30;31;32;37;41;47;50;52;54;58;60;62;63;65;66;68;69;70;73;76;88;101;104;110;116;117;118;119;120,"[{""id"": ""task-answer"", ""answer"": ""[\""n002\"", \""n005\"", \""n024\"", \""n026\"", \""n029\"", \""n030\"", \""n031\"", \""n032\"", \""n037\"", \""n041\"", \""n047\"", \""n050\"", \""n052\"", \""n054\"", \""n058\"", \""n060\"", \""n062\"", \""n063\"", \""n065\"", \""n066\"", \""n068\"", \""n069\"", \""n070\"", \""n073\"", \""n076\"", \""n088\"", \""n101\"", \""n104\"", \""n110\"", \""n116\"", \""n117\"", \""n118\"", \""n119\"", \""n120\""]""}]",n120,120,,,2,34,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_3_graph_10,condition_3,on-demand,to-link-or-not/graphs/lfr/condition_3/condition_3_graph_10.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_3_graph_10,condition_3,on-demand,to-link-or-not/graphs/lfr/condition_3/condition_3_graph_10.json,T2,n116,116,"[{""id"": ""task-answer"", ""answer"": ""[\""n116\""]""}]",,,n001,n002,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_3_graph_10,condition_3,on-demand,to-link-or-not/graphs/lfr/condition_3/condition_3_graph_10.json,T3,n001;n004;n007;n008;n009;n013;n025;n037;n038;n040;n041;n042;n044;n045;n047;n050;n051;n052;n058;n060;n062;n070;n077;n078;n080;n082;n083;n084;n086;n088;n090;n091;n093;n094;n096;n098;n101;n106;n108;n109;n113;n120,1;4;7;8;9;13;25;37;38;40;41;42;44;45;47;50;51;52;58;60;62;70;77;78;80;82;83;84;86;88;90;91;93;94;96;98;101;106;108;109;113;120,"[{""id"": ""task-answer"", ""answer"": ""[\""n001\"", \""n004\"", \""n007\"", \""n008\"", \""n009\"", \""n013\"", \""n025\"", \""n037\"", \""n038\"", \""n040\"", \""n041\"", \""n042\"", \""n044\"", \""n045\"", \""n047\"", \""n050\"", \""n051\"", \""n052\"", \""n058\"", \""n060\"", \""n062\"", \""n070\"", \""n077\"", \""n078\"", \""n080\"", \""n082\"", \""n083\"", \""n084\"", \""n086\"", \""n088\"", \""n090\"", \""n091\"", \""n093\"", \""n094\"", \""n096\"", \""n098\"", \""n101\"", \""n106\"", \""n108\"", \""n109\"", \""n113\"", \""n120\""]""}]",n120,120,,,0,42,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_3_graph_11,condition_3,on-demand,to-link-or-not/graphs/lfr/condition_3/condition_3_graph_11.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_3_graph_11,condition_3,on-demand,to-link-or-not/graphs/lfr/condition_3/condition_3_graph_11.json,T2,n114,114,"[{""id"": ""task-answer"", ""answer"": ""[\""n114\""]""}]",,,n003,n078,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_3_graph_11,condition_3,on-demand,to-link-or-not/graphs/lfr/condition_3/condition_3_graph_11.json,T3,n003;n006;n010;n023;n024;n025;n026;n027;n033;n038;n039;n042;n044;n047;n048;n056;n057;n059;n062;n064;n068;n071;n086;n089;n099;n104;n106;n107;n108;n114,3;6;10;23;24;25;26;27;33;38;39;42;44;47;48;56;57;59;62;64;68;71;86;89;99;104;106;107;108;114,"[{""id"": ""task-answer"", ""answer"": ""[\""n003\"", \""n006\"", \""n010\"", \""n023\"", \""n024\"", \""n025\"", \""n026\"", \""n027\"", \""n033\"", \""n038\"", \""n039\"", \""n042\"", \""n044\"", \""n047\"", \""n048\"", \""n056\"", \""n057\"", \""n059\"", \""n062\"", \""n064\"", \""n068\"", \""n071\"", \""n086\"", \""n089\"", \""n099\"", \""n104\"", \""n106\"", \""n107\"", \""n108\"", \""n114\""]""}]",n114,114,,,0,30,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_3_graph_12,condition_3,on-demand,to-link-or-not/graphs/lfr/condition_3/condition_3_graph_12.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_3_graph_12,condition_3,on-demand,to-link-or-not/graphs/lfr/condition_3/condition_3_graph_12.json,T2,n109;n114,109;114,"[{""id"": ""task-answer"", ""answer"": ""[\""n109\"", \""n114\""]""}]",,,n008,n095,,2,"NetworkX common_neighbors(anchor A, anchor B)"
condition_3_graph_12,condition_3,on-demand,to-link-or-not/graphs/lfr/condition_3/condition_3_graph_12.json,T3,n001;n004;n005;n013;n017;n027;n028;n033;n038;n041;n042;n043;n045;n047;n050;n051;n052;n054;n057;n062;n067;n070;n078;n095;n098;n102;n104;n105;n106,1;4;5;13;17;27;28;33;38;41;42;43;45;47;50;51;52;54;57;62;67;70;78;95;98;102;104;105;106,"[{""id"": ""task-answer"", ""answer"": ""[\""n001\"", \""n004\"", \""n005\"", \""n013\"", \""n017\"", \""n027\"", \""n028\"", \""n033\"", \""n038\"", \""n041\"", \""n042\"", \""n043\"", \""n045\"", \""n047\"", \""n050\"", \""n051\"", \""n052\"", \""n054\"", \""n057\"", \""n062\"", \""n067\"", \""n070\"", \""n078\"", \""n095\"", \""n098\"", \""n102\"", \""n104\"", \""n105\"", \""n106\""]""}]",n106,106,,,1,29,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_3_graph_13,condition_3,on-demand,to-link-or-not/graphs/lfr/condition_3/condition_3_graph_13.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_3_graph_13,condition_3,on-demand,to-link-or-not/graphs/lfr/condition_3/condition_3_graph_13.json,T2,n109,109,"[{""id"": ""task-answer"", ""answer"": ""[\""n109\""]""}]",,,n002,n020,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_3_graph_13,condition_3,on-demand,to-link-or-not/graphs/lfr/condition_3/condition_3_graph_13.json,T3,n002;n003;n015;n018;n019;n022;n023;n025;n028;n031;n032;n039;n042;n046;n049;n052;n054;n070;n073;n076;n077;n079;n081;n083;n086;n089;n095;n097;n100;n108;n110;n113;n117,2;3;15;18;19;22;23;25;28;31;32;39;42;46;49;52;54;70;73;76;77;79;81;83;86;89;95;97;100;108;110;113;117,"[{""id"": ""task-answer"", ""answer"": ""[\""n002\"", \""n003\"", \""n015\"", \""n018\"", \""n019\"", \""n022\"", \""n023\"", \""n025\"", \""n028\"", \""n031\"", \""n032\"", \""n039\"", \""n042\"", \""n046\"", \""n049\"", \""n052\"", \""n054\"", \""n070\"", \""n073\"", \""n076\"", \""n077\"", \""n079\"", \""n081\"", \""n083\"", \""n086\"", \""n089\"", \""n095\"", \""n097\"", \""n100\"", \""n108\"", \""n110\"", \""n113\"", \""n117\""]""}]",n117,117,,,0,33,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_3_graph_14,condition_3,on-demand,to-link-or-not/graphs/lfr/condition_3/condition_3_graph_14.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_3_graph_14,condition_3,on-demand,to-link-or-not/graphs/lfr/condition_3/condition_3_graph_14.json,T2,n084,84,"[{""id"": ""task-answer"", ""answer"": ""[\""n084\""]""}]",,,n002,n044,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_3_graph_14,condition_3,on-demand,to-link-or-not/graphs/lfr/condition_3/condition_3_graph_14.json,T3,n002;n015;n019;n021;n024;n025;n032;n033;n036;n040;n041;n047;n052;n061;n064;n070;n073;n080;n084;n089;n090;n093;n103;n108;n111;n115;n116,2;15;19;21;24;25;32;33;36;40;41;47;52;61;64;70;73;80;84;89;90;93;103;108;111;115;116,"[{""id"": ""task-answer"", ""answer"": ""[\""n002\"", \""n015\"", \""n019\"", \""n021\"", \""n024\"", \""n025\"", \""n032\"", \""n033\"", \""n036\"", \""n040\"", \""n041\"", \""n047\"", \""n052\"", \""n061\"", \""n064\"", \""n070\"", \""n073\"", \""n080\"", \""n084\"", \""n089\"", \""n090\"", \""n093\"", \""n103\"", \""n108\"", \""n111\"", \""n115\"", \""n116\""]""}]",n116,116,,,0,27,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_3_graph_15,condition_3,on-demand,to-link-or-not/graphs/lfr/condition_3/condition_3_graph_15.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_3_graph_15,condition_3,on-demand,to-link-or-not/graphs/lfr/condition_3/condition_3_graph_15.json,T2,n115,115,"[{""id"": ""task-answer"", ""answer"": ""[\""n115\""]""}]",,,n004,n085,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_3_graph_15,condition_3,on-demand,to-link-or-not/graphs/lfr/condition_3/condition_3_graph_15.json,T3,n001;n002;n007;n009;n010;n011;n014;n016;n023;n026;n028;n029;n033;n038;n039;n040;n047;n049;n050;n054;n056;n060;n064;n066;n068;n070;n072;n073;n076;n078;n082;n087;n089;n094;n095;n101;n102;n109;n110;n114;n116,1;2;7;9;10;11;14;16;23;26;28;29;33;38;39;40;47;49;50;54;56;60;64;66;68;70;72;73;76;78;82;87;89;94;95;101;102;109;110;114;116,"[{""id"": ""task-answer"", ""answer"": ""[\""n001\"", \""n002\"", \""n007\"", \""n009\"", \""n010\"", \""n011\"", \""n014\"", \""n016\"", \""n023\"", \""n026\"", \""n028\"", \""n029\"", \""n033\"", \""n038\"", \""n039\"", \""n040\"", \""n047\"", \""n049\"", \""n050\"", \""n054\"", \""n056\"", \""n060\"", \""n064\"", \""n066\"", \""n068\"", \""n070\"", \""n072\"", \""n073\"", \""n076\"", \""n078\"", \""n082\"", \""n087\"", \""n089\"", \""n094\"", \""n095\"", \""n101\"", \""n102\"", \""n109\"", \""n110\"", \""n114\"", \""n116\""]""}]",n116,116,,,2,41,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_4_graph_01,condition_4,stubs,to-link-or-not/graphs/lfr/condition_4/condition_4_graph_01.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_4_graph_01,condition_4,stubs,to-link-or-not/graphs/lfr/condition_4/condition_4_graph_01.json,T2,n109,109,"[{""id"": ""task-answer"", ""answer"": ""[\""n109\""]""}]",,,n001,n036,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_4_graph_01,condition_4,stubs,to-link-or-not/graphs/lfr/condition_4/condition_4_graph_01.json,T3,n002;n004;n008;n013;n016;n020;n022;n023;n025;n027;n033;n034;n039;n040;n044;n053;n055;n060;n064;n073;n074;n077;n080;n082;n096;n097;n100;n108;n114;n120,2;4;8;13;16;20;22;23;25;27;33;34;39;40;44;53;55;60;64;73;74;77;80;82;96;97;100;108;114;120,"[{""id"": ""task-answer"", ""answer"": ""[\""n002\"", \""n004\"", \""n008\"", \""n013\"", \""n016\"", \""n020\"", \""n022\"", \""n023\"", \""n025\"", \""n027\"", \""n033\"", \""n034\"", \""n039\"", \""n040\"", \""n044\"", \""n053\"", \""n055\"", \""n060\"", \""n064\"", \""n073\"", \""n074\"", \""n077\"", \""n080\"", \""n082\"", \""n096\"", \""n097\"", \""n100\"", \""n108\"", \""n114\"", \""n120\""]""}]",n120,120,,,2,30,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_4_graph_02,condition_4,stubs,to-link-or-not/graphs/lfr/condition_4/condition_4_graph_02.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_4_graph_02,condition_4,stubs,to-link-or-not/graphs/lfr/condition_4/condition_4_graph_02.json,T2,n014,14,"[{""id"": ""task-answer"", ""answer"": ""[\""n014\""]""}]",,,n001,n002,,1,"NetworkX common_neighbors(anchor A, anchor B)"
condition_4_graph_02,condition_4,stubs,to-link-or-not/graphs/lfr/condition_4/condition_4_graph_02.json,T3,n001;n004;n006;n008;n009;n010;n012;n013;n014;n017;n018;n023;n025;n026;n028;n032;n035;n037;n038;n042;n043;n044;n047;n048;n049;n051;n056;n057;n061;n063;n064;n066;n067;n069;n072;n073;n080;n087;n091;n094;n096;n097;n099;n100;n101;n103;n105;n112;n118,1;4;6;8;9;10;12;13;14;17;18;23;25;26;28;32;35;37;38;42;43;44;47;48;49;51;56;57;61;63;64;66;67;69;72;73;80;87;91;94;96;97;99;100;101;103;105;112;118,"[{""id"": ""task-answer"", ""answer"": ""[\""n001\"", \""n004\"", \""n006\"", \""n008\"", \""n009\"", \""n010\"", \""n012\"", \""n013\"", \""n014\"", \""n017\"", \""n018\"", \""n023\"", \""n025\"", \""n026\"", \""n028\"", \""n032\"", \""n035\"", \""n037\"", \""n038\"", \""n042\"", \""n043\"", \""n044\"", \""n047\"", \""n048\"", \""n049\"", \""n051\"", \""n056\"", \""n057\"", \""n061\"", \""n063\"", \""n064\"", \""n066\"", \""n067\"", \""n069\"", \""n072\"", \""n073\"", \""n080\"", \""n087\"", \""n091\"", \""n094\"", \""n096\"", \""n097\"", \""n099\"", \""n100\"", \""n101\"", \""n103\"", \""n105\"", \""n112\"", \""n118\""]""}]",n118,118,,,0,49,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_4_graph_03,condition_4,stubs,to-link-or-not/graphs/lfr/condition_4/condition_4_graph_03.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
condition_4_graph_03,condition_4,stubs,to-link-or-not/graphs/lfr/condition_4/condition_4_graph_03.json,T2,n052;n112,52;112,"[{""id"": ""task-answer"", ""answer"": ""[\""n052\"", \""n112\""]""}]",,,n006,n095,,2,"NetworkX common_neighbors(anchor A, anchor B)"
condition_4_graph_03,condition_4,stubs,to-link-or-not/graphs/lfr/condition_4/condition_4_graph_03.json,T3,n004;n007;n008;n011;n017;n021;n023;n024;n028;n031;n035;n040;n043;n056;n058;n059;n064;n066;n069;n073;n084;n088;n089;n093;n102;n103;n105;n109;n112;n118;n119,4;7;8;11;17;21;23;24;28;31;35;40;43;56;58;59;64;66;69;73;84;88;89;93;102;103;105;109;112;118;119,"[{""id"": ""task-answer"", ""answer"": ""[\""n004\"", \""n007\"", \""n008\"", \""n011\"", \""n017\"", \""n021\"", \""n023\"", \""n024\"", \""n028\"", \""n031\"", \""n035\"", \""n040\"", \""n043\"", \""n056\"", \""n058\"", \""n059\"", \""n064\"", \""n066\"", \""n069\"", \""n073\"", \""n084\"", \""n088\"", \""n089\"", \""n093\"", \""n102\"", \""n103\"", \""n105\"", \""n109\"", \""n112\"", \""n118\"", \""n119\""]""}]",n119,119,,,3,31,largest embedded LFR community; placeholder is max-degree node inside it with highest node-id tie break
condition_4_graph_04,condition_4,stubs,to-link-or-not/graphs/lfr/condition_4/condition_4_graph_04.json,T1,n120,120,"[{""id"": ""task-answer"", ""answer"": ""n120""}]",n120,120,,,,1,NetworkX degree; max degree with highest node-id tie break
